Bin,LowerEdge,UpperEdge,Count,ObservedRate,PredictedRate,AbsoluteGap
1,0.0,0.00012417997641023248,1000,0.0,9.6213560027536e-05,9.6213560027536e-05
2,0.00012417997641023248,0.00023587474424857646,1000,0.0,0.0001658898254390806,0.0001658898254390806
3,0.00023587474424857646,0.00036168208462186165,1000,0.0,0.00030629331013187766,0.00030629331013187766
4,0.00036168208462186165,0.0004597731516696513,1000,0.0,0.0004082466766703874,0.0004082466766703874
5,0.0004597731516696513,0.0006612517463508993,1000,0.0,0.0005396244814619422,0.0005396244814619422
6,0.0006612517463508993,0.003939740452915437,1000,0.001,0.001705068745650351,0.000705068745650351
7,0.003939740452915437,0.01605630740523348,1000,0.007,0.008683646097779274,0.0016836460977792738
8,0.01605630740523348,0.05692103728652001,1000,0.03,0.0323118157684803,0.002311815768480302
9,0.05692103728652001,0.18400370627641702,1000,0.116,0.10977178812026978,0.0062282118797302305
10,0.18400370627641702,1.0,1000,0.696,0.695298969745636,0.0007010302543639657
