model,accuracy,f1_score,auc_roc,train_time,dataset,category
Logistic Regression,0.7142857142857143,0.6206896551724138,0.8114814814814815,0.0014998912811279297,pima,Baseline
Decision Tree,0.6818181818181818,0.5585585585585585,0.6739814814814815,0.0035064220428466797,pima,Baseline
KNN,0.6948051948051948,0.6178861788617886,0.7737037037037038,0.0010013580322265625,pima,Baseline
Random Forest,0.7532467532467533,0.6724137931034483,0.8141666666666666,0.13744568824768066,pima,Baseline
XGBoost,0.7272727272727273,0.625,0.8079629629629629,0.25126075744628906,pima,Baseline
LightGBM,0.7467532467532467,0.6486486486486487,0.8131481481481482,9.365518569946289,pima,Baseline
SVM,0.7272727272727273,0.6379310344827587,0.8044444444444444,0.04718637466430664,pima,Baseline
MLP,0.7077922077922078,0.6017699115044248,0.8016666666666667,0.4299020767211914,pima,Advanced
Attention-ResNet,0.7012987012987013,0.3611111111111111,0.7222222222222222,0.4448258876800537,pima,Advanced
FT-Transformer (SOTA),0.7337662337662337,0.6611570247933884,0.8112962962962963,0.27501893043518066,pima,SOTA
Logistic Regression,0.8878,0.5733840304182509,0.962503712632594,0.07536697387695312,100k,Baseline
Decision Tree,0.91465,0.6339266566588033,0.9702871584699453,0.23762297630310059,100k,Baseline
KNN,0.91405,0.613099257258609,0.9134770331083253,0.2348792552947998,100k,Baseline
Random Forest,0.95965,0.7580209895052473,0.9664185149469624,1.105905532836914,100k,Baseline
XGBoost,0.9692,0.7966996699669967,0.977296287367406,0.2416365146636963,100k,Baseline
LightGBM,0.97095,0.8056206088992974,0.9786019607843138,0.38665318489074707,100k,Baseline
MLP,0.8549,0.5181002989040187,0.9590548216007713,0.04532504081726074,100k,Advanced
Attention-ResNet,0.83085,0.47525981076469676,0.9492171970427514,1.5531601905822754,100k,Advanced
